0.0625	0.0468	0.0945	0.0072	0.0138	0.0625
0.045	0.0317	0.0558	0.0164	0.0134	0.0525
0.0075	0.0085	0.0126	0.0213	0.016	0.03
0.035	0.0278	0.0434	0.0239	0.0161	0.04
0.018	0.0097	0.0232	0.0179	0.0122	0.06
0.034	0.0233	0.0631	0.0117	0.0085	0.06
0.0227	0.0104	0.03195	0.0032	0.003	0.0675
0.1006	0.0875	0.1841	0.0136	0.014	0.0575
0.106	0.096	0.1982	0.0045	0.0079	0.1325
0.054	0.0441	0.0871	0.0871	0.0042	0.19
